,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
296466,tt0309912,movie,Nicholas Nickleby,Nicholas Nickleby,0,2002,\N,132,"Adventure,Drama,Romance"
296538,tt0309987,movie,The Dreamers,The Dreamers,0,2003,\N,115,"Drama,Romance"
296698,tt0310149,movie,The Princess Blade,Shurayukihime,0,2001,\N,93,"Action,Sci-Fi"
296702,tt0310154,movie,In This World,In This World,0,2002,\N,88,Drama
296748,tt0310203,movie,Ruby & Quentin,Tais-toi!,0,2003,\N,85,"Comedy,Crime"
296822,tt0310281,movie,A Mighty Wind,A Mighty Wind,0,2003,\N,91,"Comedy,Music"
296897,tt0310357,movie,Willard,Willard,0,2003,\N,100,"Drama,Horror,Thriller"
297301,tt0310775,movie,Sympathy for Mr. Vengeance,Boksuneun naui geot,0,2002,\N,129,"Crime,Drama,Thriller"
297317,tt0310793,movie,Bowling for Columbine,Bowling for Columbine,0,2002,\N,120,"Crime,Documentary,Drama"
297431,tt0310910,movie,Confidence,Confidence,0,2003,\N,97,"Crime,Thriller"
297623,tt0311110,movie,It Runs in the Family,It Runs in the Family,0,2003,\N,109,"Comedy,Drama,Romance"
297626,tt0311113,movie,Master and Commander: The Far Side of the World,Master and Commander: The Far Side of the World,0,2003,\N,138,"Action,Adventure,Drama"
297794,tt0311289,movie,Holes,Holes,0,2003,\N,117,"Adventure,Comedy,Drama"
297823,tt0311320,movie,Blind Spot. Hitler's Secretary,Im toten Winkel - Hitlers Sekretärin,0,2002,\N,90,"Biography,Documentary,War"
297862,tt0311361,movie,Jesus Christ Vampire Hunter,Jesus Christ Vampire Hunter,0,2001,\N,85,"Action,Comedy,Horror"
297929,tt0311429,movie,The League of Extraordinary Gentlemen,The League of Extraordinary Gentlemen,0,2003,\N,110,"Action,Adventure,Fantasy"
298017,tt0311519,movie,The Man Without a Past,Mies vailla menneisyyttä,0,2002,\N,97,"Comedy,Drama,Romance"
298141,tt0311648,movie,Pieces of April,Pieces of April,0,2003,\N,80,"Comedy,Drama"
298481,tt0312004,movie,Wallace & Gromit: The Curse of the Were-Rabbit,The Curse of the Were-Rabbit,0,2005,\N,85,"Adventure,Animation,Comedy"
298785,tt0312318,tvMovie,9/11,9/11,0,2002,\N,112,Documentary
298796,tt0312329,movie,Against the Ropes,Against the Ropes,0,2004,\N,111,"Biography,Drama,Romance"
298993,tt0312528,movie,The Cat in the Hat,The Cat in the Hat,0,2003,\N,82,"Adventure,Comedy,Family"
299012,tt0312549,movie,Veronica Guerin,Veronica Guerin,0,2003,\N,98,"Biography,Crime,Drama"
299295,tt0312843,movie,Suicide Club,Jisatsu sâkuru,0,2001,\N,99,"Crime,Drama,Horror"
299300,tt0312848,movie,Journeys with George,Journeys with George,0,2002,\N,79,Documentary
299389,tt0312941,movie,My Life as McDull,Mak Dau goo si,0,2001,\N,75,"Animation,Comedy,Drama"
299628,tt0313196,movie,The Crime of Padre Amaro,El crimen del padre Amaro,0,2002,\N,118,"Drama,Romance"
299869,tt0313443,movie,Out of Time,Out of Time,0,2003,\N,105,"Crime,Drama,Mystery"
299959,tt0313542,movie,Runaway Jury,Runaway Jury,0,2003,\N,127,"Crime,Drama,Thriller"
300081,tt0313670,movie,Sweet Sixteen,Sweet Sixteen,0,2002,\N,106,"Crime,Drama"
300146,tt0313737,movie,Two Weeks Notice,Two Weeks Notice,0,2002,\N,101,"Comedy,Romance"
300200,tt0313792,movie,Anything Else,Anything Else,0,2003,\N,108,"Comedy,Romance"
300316,tt0313911,movie,Agent Cody Banks,Agent Cody Banks,0,2003,\N,102,"Action,Adventure,Comedy"
300520,tt0314121,movie,Mortadelo & Filemon: The Big Adventure,La gran aventura de Mortadelo y Filemón,0,2003,\N,107,"Action,Adventure,Comedy"
300564,tt0314166,movie,Hey Arnold! The Movie,Hey Arnold! The Movie,0,2002,\N,76,"Adventure,Animation,Comedy"
300723,tt0314331,movie,Love Actually,Love Actually,0,2003,\N,135,"Comedy,Drama,Romance"
300745,tt0314353,movie,Tears of the Sun,Tears of the Sun,0,2003,\N,121,"Action,Drama,Thriller"
300801,tt0314412,movie,My Life Without Me,My Life Without Me,0,2003,\N,106,"Drama,Romance"
300819,tt0314431,movie,Hope Springs,Hope Springs,0,2003,\N,92,"Comedy,Romance"
300886,tt0314498,movie,The Perfect Score,The Perfect Score,0,2004,\N,93,"Comedy,Crime,Drama"
301014,tt0314630,movie,The Secret Lives of Dentists,The Secret Lives of Dentists,0,2002,\N,104,Drama
301107,tt0314725,movie,Standing in the Shadows of Motown,Standing in the Shadows of Motown,0,2002,\N,108,"Documentary,Music"
301161,tt0314786,movie,The In-Laws,The In-Laws,0,2003,\N,98,"Action,Comedy,Thriller"
301344,tt0314979,tvMiniSeries,Battlestar Galactica,Battlestar Galactica,0,2003,2003,90,"Action,Adventure,Drama"
301510,tt0315152,movie,If I Were a Rich Man,Ah! Si j'étais riche,0,2002,\N,105,Comedy
301650,tt0315297,movie,Twisted,Twisted,0,2004,\N,97,"Crime,Drama,Mystery"
301679,tt0315327,movie,Bruce Almighty,Bruce Almighty,0,2003,\N,101,"Comedy,Fantasy"
301890,tt0315543,movie,Open Hearts,Elsker dig for evigt,0,2002,\N,113,"Drama,Romance"
302073,tt0315733,movie,21 Grams,21 Grams,0,2003,\N,124,"Crime,Drama,Thriller"
302160,tt0315824,movie,The Big Bounce,The Big Bounce,0,2004,\N,88,"Comedy,Crime"
302314,tt0315983,movie,House of Sand and Fog,House of Sand and Fog,0,2003,\N,126,"Crime,Drama"
302515,tt0316188,movie,Raising Victor Vargas,Raising Victor Vargas,0,2002,\N,88,"Drama,Romance"
302678,tt0316356,movie,Open Range,Open Range,0,2003,\N,139,"Action,Drama,Romance"
